,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
131043,Paid Contribution,24/04/2017,24/04/2017,4356897,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Shelter/CCCM/NFIs,Emergency Shelter and NFI,Yes,21/12/2017,21/12/2017,,2016,financial,Standard,United Nations High Commissioner for Refugees,,,
131099,Paid Contribution,21/04/2017,21/04/2017,21231,"Lithuania, Government of",Government: National government,Lithuania,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,08/05/2017,04/05/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131100,Paid Contribution,14/02/2017,14/02/2017,1550000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Yemen National Committee for Human Rights,2017,NGO: Local,Yemen,,Protection,Yes,27/04/2017,27/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131101,Paid Contribution,02/03/2017,02/03/2017,1353800,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Al Khair Relief Development Foundation,2017,NGO: National,Yemen,,Water Sanitation Hygiene,Yes,27/04/2017,27/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131102,Paid Contribution,02/03/2017,02/03/2017,2000000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Al Khair Relief Development Foundation,2017,NGO: National,Yemen,,Food Security,Yes,27/04/2017,27/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131176,Paid Contribution,28/04/2017,25/04/2017,11207970,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,05/05/2017,04/05/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131180,Paid Contribution,16/05/2017,25/04/2017,15924,"Andorra, Government of",Government: National government,Andorra,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,22/05/2017,18/05/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131182,Paid Contribution,03/05/2017,25/04/2017,4246285,"Ireland, Government of",Government: National government,Ireland,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,10/05/2017,10/05/2017,softly earmarked,,financial,Standard,"Ireland, Government of",,,
131206,Paid Contribution,18/04/2017,18/04/2017,203080,"Czech Republic, Government of",Government: National government,Czech Republic,2017,,,International Organization for Migration,2017,UN agency,Yemen,Health,Health,Yes,22/06/2017,22/06/2017,,2017,financial,Standard,International Organization for Migration,,,
131356,Paid Contribution,05/05/2017,05/05/2017,1628664,"Italy, Government of",Government: National government,Italy,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,2017,financial,Standard,World Food Programme,,,
131481,Paid Contribution,03/05/2017,03/05/2017,3382187,"Sweden, Government of",Government: National government,Sweden,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,17/08/2017,17/08/2017,,2017,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131533,Paid Contribution,30/05/2017,03/05/2017,351617,"New Zealand, Government of",Government: National government,New Zealand,2017,,,International Committee of the Red Cross,2017,Red Cross/Red Crescent: International Society,Yemen,,,Yes,30/05/2017,30/05/2017,,,financial,Standard,"New Zealand, Government of",,,
131534,Paid Contribution,30/05/2017,12/05/2017,703235,"New Zealand, Government of",Government: National government,New Zealand,2017,,,International Committee of the Red Cross,2017,Red Cross/Red Crescent: International Society,Yemen,,,Yes,30/05/2017,30/05/2017,,,financial,Standard,"New Zealand, Government of",,,
131551,Paid Contribution,01/06/2017,12/05/2017,1500000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,06/06/2017,03/06/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131573,Paid Contribution,18/05/2017,10/05/2017,3485940,"Norway, Government of",Government: National government,Norway,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,24/05/2017,24/05/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131578,Paid Contribution,16/05/2017,,2232143,"Australia, Government of",Government: National government,Australia,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/06/2017,13/06/2017,,,financial,Standard,World Food Programme,,,
131594,Paid Contribution,30/04/2017,30/04/2017,13333333,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,17/05/2017,17/05/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131595,Paid Contribution,30/04/2017,30/04/2017,5333333,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Water Sanitation Hygiene,Yes,17/05/2017,17/05/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131596,Paid Contribution,30/04/2017,30/04/2017,16000000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Education,Yes,17/05/2017,17/05/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131597,Paid Contribution,11/05/2017,11/05/2017,200000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Coordination and support services,Yes,29/05/2017,17/05/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131632,Paid Contribution,19/06/2017,15/05/2017,50000,"Azerbaijan, Government of",Government: National government,Azerbaijan,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,22/06/2017,22/06/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131745,Paid Contribution,08/05/2017,08/05/2017,8250058,"Norway, Government of",Government: National government,Norway,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,02/08/2017,02/08/2017,,,financial,Standard,"Norway, Government of",,,
131746,Paid Contribution,01/09/2015,01/09/2015,12680894,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,World Food Programme,2017,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,25/03/2019,25/03/2019,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
131748,Paid Contribution,28/04/2017,28/04/2017,639978,UNICEF National Committee/Belgium,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131749,Paid Contribution,05/04/2017,05/04/2017,101297,UNICEF National Committee/Germany,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131750,Paid Contribution,27/03/2017,27/03/2017,320171,UNICEF National Committee/Germany,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131751,Paid Contribution,04/05/2017,04/05/2017,542888,UNICEF National Committee/Germany,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131752,Paid Contribution,13/04/2017,13/04/2017,28284,UNICEF National Committee/Japan,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,22/02/2018,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131753,Paid Contribution,22/03/2017,22/03/2017,747065,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131754,Paid Contribution,24/04/2017,24/04/2017,636943,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131755,Paid Contribution,28/03/2017,28/03/2017,640342,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131756,Paid Contribution,24/04/2017,24/04/2017,424628,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131757,Paid Contribution,11/05/2017,11/05/2017,450174,"Norway, Government of",Government: National government,Norway,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,17/08/2017,17/08/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131758,Paid Contribution,09/05/2017,09/05/2017,32573,"Slovenia, Government of",Government: National government,Slovenia,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131759,Paid Contribution,31/03/2017,31/03/2017,49265,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,22/02/2018,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131760,Paid Contribution,07/03/2017,07/03/2017,87968,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131761,Paid Contribution,11/04/2017,11/04/2017,375469,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131762,Paid Contribution,07/03/2017,07/03/2017,130915,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131763,Paid Contribution,30/03/2017,30/03/2017,35873,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131764,Paid Contribution,11/04/2017,11/04/2017,125156,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,,financial,Standard,United Nations Children's Fund,,,
131765,Paid Contribution,16/03/2017,16/03/2017,213447,UNICEF National Committee/Spain,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,2017,financial,Standard,United Nations Children's Fund,,,
131766,Paid Contribution,02/05/2017,02/05/2017,2448500,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,2017,financial,Standard,United Nations Children's Fund,,,
131767,Paid Contribution,02/05/2017,02/05/2017,291600,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,2017,financial,Standard,United Nations Children's Fund,,,
131768,Paid Contribution,02/05/2017,02/05/2017,228398,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/05/2017,,2017,financial,Standard,United Nations Children's Fund,,,
132187,Paid Contribution,28/04/2017,28/04/2017,2818489,"Sweden, Government of",Government: National government,Sweden,2017,,,World Food Programme,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,13/10/2017,,2017,financial,Standard,World Food Programme,,,
132424,Paid Contribution,01/01/2017,01/01/2017,434982,Office for the Coordination of Humanitarian Affairs,UN agency,Yemen,2016,,Coordination and support services,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,No,05/03/2018,02/03/2018,,,financial,Carryover,Office for the Coordination of Humanitarian Affairs,,,
