,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
125045,149329,Paid Contribution,29/03/2016,29/03/2016,3950000,,"Initial Contribution Towards UNHCRs  Africa Annual Budget Activities-Yemen
(STATE/PRM)","United States of America, Government of",Government: National government,,United States,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,S-PRMCO-16-VC-1016,Traditional aid,15/11/2016,11/11/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
125046,149330,Paid Contribution,29/03/2016,29/03/2016,1800000,,Initial Contribution Towards UNHCR's Middle East and North Africa Annual Budget Activities-Yemen IDPs (STATE/PRM),"United States of America, Government of",Government: National government,,United States,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,S-PRMCO-16-VC-1016,Traditional aid,15/11/2016,11/11/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
125047,149331,Paid Contribution,14/07/2016,14/07/2016,3950000,,UNHCRs Second Tranche Africa Annual Budget Activities-Yemen  (STATE/PRM),"United States of America, Government of",Government: National government,,United States,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,S-PRMCO-16-VC-1016,Traditional aid,15/11/2016,11/11/2016,1,,2016,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
125048,149332,Paid Contribution,14/07/2016,14/07/2016,1800000,,"UNHCR's Second Tranche Near East Annual Budget Activites-Yemen IDP's
(STATE/PRM)","United States of America, Government of",Government: National government,,United States,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,S-PRMCO-16-VC-1016,Traditional aid,15/11/2016,11/11/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
125154,149464,Paid Contribution,27/10/2016,27/10/2016,241997,,Yemen eDEWS- Expansion of Electronic Disease Early Warning System in Yemen,The Future of Global Health,Private organization/foundation: Uncategorized,,,,2016,,,,World Health Organization,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/H/92104/122,Health,Health,,,Yes,,Traditional aid,14/11/2016,14/11/2016,1,,2016,financial,,US Dollar,,Standard,World Health Organization,,,
125190,149501,Paid Contribution,12/10/2016,12/10/2016,12000000,44076000,Urgent medical assistance to prevent spread of cholera in Aden (YEM-2016-134),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,World Health Organization,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/H/92104/122,Health,Health,,,Yes,YEM-2016-134,Traditional aid,07/12/2016,14/11/2016,1,,2016,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
125477,149943,Paid Contribution,01/01/2016,01/01/2016,6556282,,Yemen - OCHA Office,Office for the Coordination of Humanitarian Affairs,UN agency,,Yemen,,2015,,,Coordination and support services,Office for the Coordination of Humanitarian Affairs,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92087/119,Coordination and Safety,Coordination and support services,,,No,,,01/06/2017,01/06/2017,2,,2016,financial,,US Dollar,,Carryover,Office for the Coordination of Humanitarian Affairs,,,
125483,149950,Paid Contribution,05/12/2016,18/11/2016,2206531,20000000,Yemen - CBPF (OCT 5397),"Sweden, Government of",Government: National government,,Sweden,,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5397,Traditional aid,07/12/2016,22/11/2016,1,softly earmarked,2016,financial,9.064001,Swedish Krona,,Standard,,,,
125491,149958,Paid Contribution,13/12/2016,21/11/2016,300000,,Yemen - CBPF.(OCT 5399),"Korea, Republic of, Government of",Government: National government,,"Korea, Republic of",,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5399,Traditional aid,16/12/2016,22/11/2016,1,softly earmarked,2016,financial,,US Dollar,,Standard,,,,
125588,150135,Paid Contribution,06/12/2016,22/11/2016,3715499,3500000,Yemen - CBPF (OCT 5405),"Germany, Government of",Government: National government,,Germany,,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5405,Traditional aid,27/12/2016,24/11/2016,1,softly earmarked,2016,financial,0.942,European Euro,,Standard,,,,
125593,150140,Paid Contribution,09/09/2016,09/09/2016,491373,,Monitoring and Prevention of Child recruitment and release from armed forced-Yemen (SM160454),UNICEF National Committee/France,Private organization/foundation: Local/National organization/foundation/individual,,,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/P-HR-RL/93464/R/124,Protection,Child Protection,,,Yes,SM160454,Traditional aid,21/11/2017,24/11/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
125594,150141,Paid Contribution,01/08/2016,01/08/2016,11978,,Thematic Emergency Activities - Yemen (through International On-line Donations) (SM1499101017),UNICEF National Committee/France,Private organization/foundation: Local/National organization/foundation/individual,,,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,SM1499101017,Traditional aid,24/11/2016,24/11/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
125595,150142,Paid Contribution,05/09/2016,05/09/2016,42578,,Thematic 8- Cross Sectoral - Yemen (SM1499101243),UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,SM1499101243,Traditional aid,24/11/2016,24/11/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
125695,150306,Paid Contribution,14/09/2016,14/09/2016,359712,3000000,QZA-15/0178-19/IFRC Appeal Yemen.,"Norway, Government of",Government: National government,,Norway,,2016,,,,International Federation of Red Cross and Red Crescent Societies,,2016,,,Red Cross/Red Crescent: International Society,,Yemen,,,,,,Yes,QZA-15/0178-19,Traditional aid,28/11/2016,28/11/2016,1,,2016,financial,8.34,Norwegian Krone,,Standard,"Norway, Government of",,,
125700,150311,Paid Contribution,16/11/2016,16/11/2016,67845148,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen   (USAID/FFP),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,895-XXX-279-15005,Traditional aid,01/10/2018,28/11/2016,1,,2017,financial,,US Dollar,,Standard,"United States of America, Government of",,,
125701,150312,Paid Contribution,21/11/2016,21/11/2016,1785502,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen,"Norway, Government of",Government: National government,,Norway,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,28/11/2016,28/11/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
125704,150315,Paid Contribution,20/07/2016,20/07/2016,560566,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,152931,,Yes,,Traditional aid,08/12/2017,08/12/2017,2,,2016,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
125705,150316,Paid Contribution,25/11/2016,25/11/2016,9700000,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,28/11/2016,28/11/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
125706,150317,Paid Contribution,01/09/2015,01/09/2015,31702236,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,152931,,Yes,,Traditional aid,08/12/2017,08/12/2017,2,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
125855,150556,Paid Contribution,04/07/2016,04/07/2016,2123142,2000000,Emergency nutritional assistance for those affected by the conflict in Yemen (part of AA-S05 321.50 YEM 06/16),"Germany, Government of",Government: National government,,Germany,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,15/03/2017,15/03/2017,2,,2016,financial,0.942,European Euro,,Standard,World Food Programme,,,
125859,150560,Paid Contribution,28/11/2016,28/11/2016,20464908,76743405,"Medicine, medical equipments and medical for the Yemeni people in Hajja governorate for 270,000 beneficiaries [Yemen Ministry of Public Health and Population and  Medical Services company] (through King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,05/12/2016,05/12/2016,1,,2016,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
125863,150564,Paid Contribution,28/11/2016,28/11/2016,21047994,78929978,"Provision of medical care, medical equipments and medical services in Saadah Directorates for 356,332 beneficiaries [Yemen Ministry of Public Health and Population and  Medical Services company] (through King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,05/12/2016,05/12/2016,1,,2016,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
125865,150566,Paid Contribution,28/11/2016,28/11/2016,1634756,6130335,"in kind - 30,000 Food parcels for 180,000 Yemeni affected population in Sanaa Province (Sanhan Ben Halool, Hamdan, Beni Matar, Nehim,Arhab, Beni Hasheesh, Al Tayal and Khawlan) for 356,332 beneficiaries [Yemen Development Network for NGOs] (through King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,NGOs (details not yet provided),,2016,,,NGO: International,,Yemen,,,Food Security,,,Yes,,Traditional aid,05/12/2016,05/12/2016,1,,2016,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
125992,150722,Paid Contribution,01/09/2016,01/09/2016,10745848,39469500,Cash for work for workers in the logistics services in Aden during the period July-September / 2016 (Gov-YEM-008),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Logistics,,,Yes,Gov-YEM-008,Traditional aid,21/11/2017,06/12/2016,1,,2016,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
125996,150726,Paid Contribution,11/08/2016,11/08/2016,2070242,7603999,"Providing of medical equipment (refrigerator for medicines solar-powered, mosquito nets, bag first aid for medical equipment surgery)  in the provinces of Hadramout / Marib / Al muhra (Gov-YEM-096)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,Gov-YEM-096,Traditional aid,07/12/2016,06/12/2016,1,,2016,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
125998,150728,Paid Contribution,08/08/2016,08/08/2016,278823,1024117,Project of  drilled 5 wells in Mukalla and supply of electric pumps in the provinces of Hadramout / Marib / Al muhra (Gov-YEM-098),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,,,Yes,Gov-YEM-098,Traditional aid,07/12/2016,06/12/2016,1,,2016,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
126004,150734,Paid Contribution,06/10/2016,06/10/2016,52207,191755,"Logisitc cost to cover relief operation in the provinces of Hadramout, Marib and Al Muhra,Administrative costs of relief operations, and providing (Motor) electric generators with spare parts, Providing  Foul and  (10,000 liters) of diesel to stations in Abyan (Gov-YEM-100)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,,,Yes,Gov-YEM-100,Traditional aid,06/12/2016,06/12/2016,1,,2016,in kind,3.672975,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
126005,150735,Paid Contribution,06/10/2016,06/10/2016,803185,2950099,Al Gail - Al Sada - Al Shaher road construction project (5red installment - last installment ) (Gov-YEM-101),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,Gov-YEM-101,Traditional aid,06/12/2016,06/12/2016,1,,2016,in kind,3.673001,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
126006,150736,Paid Contribution,06/10/2016,06/10/2016,91930,337659,Providing food parcel (Gov-YEM-103),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,Gov-YEM-103,Traditional aid,06/12/2016,06/12/2016,1,,2016,in kind,3.673001,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
126007,150737,Paid Contribution,06/10/2016,06/10/2016,12025934,44171256,Maintenance of health units  (Gov-YEM-104),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,Gov-YEM-104,Traditional aid,06/12/2016,06/12/2016,1,,2016,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
126008,150738,Paid Contribution,06/10/2016,06/10/2016,9741,35777,"Cash assistance for individuals and families in the provinces of  Hadramout, Marib and Al Muhra  (Gov-YEM-105)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,Gov-YEM-105,Traditional aid,06/12/2016,06/12/2016,1,,2016,in kind,3.672826,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
